date,platform,campaign_name,ad_set,country,impressions,reach,clicks,likes,comments,shares,conversions,ad_spend,revenue,CTR,Engagement rate,ROI
02-01-2021,Facebook,Brand Awareness,Youth,India,1615,26201,68,1148,140,421,316,620.72,2125.04,4.21%,105.82%,242.35%
04-01-2021,Facebook,Lead Generation,Professionals,USA,14147,16647,3962,736,262,7,295,676.66,2821.82,28.01%,7.10%,317.02%
04-01-2021,Facebook,Festive Sale,Adults,USA,23356,35810,1026,2332,236,635,473,708.45,1061.12,4.39%,13.71%,49.78%
04-01-2021,Facebook,Brand Awareness,Students,Canada,41870,8871,3144,989,358,442,115,130.53,4660.22,7.51%,4.27%,3470.23%
06-01-2021,Facebook,Lead Generation,Adults,India,32358,9798,436,114,291,343,86,259.58,3100.64,1.35%,2.31%,1094.48%
09-01-2021,Facebook,Lead Generation,Students,India,45557,22122,1348,2870,249,226,307,778.38,1282.05,2.96%,7.34%,64.71%
09-01-2021,Instagram,Festive Sale,Students,Canada,10612,19102,4230,2543,408,408,198,512.78,436.64,39.86%,31.65%,-14.85%
10-01-2021,Instagram,Product Launch,Students,USA,27532,38969,3175,1161,446,20,177,303.06,4355.31,11.53%,5.91%,1337.11%
11-01-2021,Facebook,Lead Generation,Youth,UK,24718,24732,4867,1715,303,122,158,391.88,3789.5,19.69%,8.66%,867.01%
13-01-2021,Facebook,Product Launch,Professionals,UK,47501,9966,2683,1549,86,474,78,18.22,3280.81,5.65%,4.44%,17906.64%
13-01-2021,Facebook,Festive Sale,Students,India,46772,4058,965,1199,39,233,215,996.19,3072.01,2.06%,3.15%,208.38%
14-01-2021,Facebook,Brand Awareness,Youth,Australia,39367,24319,689,1397,227,787,130,478.3,593.81,1.75%,6.12%,24.15%
18-01-2021,Instagram,Festive Sale,Adults,USA,1515,28104,2854,2836,478,195,281,149.65,2723.33,188.38%,231.62%,1719.80%
19-01-2021,Facebook,Product Launch,Youth,India,16511,32636,4972,1126,33,617,46,440.63,1941.07,30.11%,10.76%,340.52%
21-01-2021,Facebook,Product Launch,Youth,Canada,47233,18122,1075,1437,345,250,493,857.05,3301.27,2.28%,4.30%,285.19%
21-01-2021,Instagram,Brand Awareness,Adults,USA,11748,29811,627,298,343,757,9,100.4,249.21,5.34%,11.90%,148.22%
22-01-2021,Instagram,Lead Generation,Professionals,India,3881,34207,2311,2740,177,49,256,343.01,1037.34,59.55%,76.42%,202.42%
22-01-2021,Instagram,Brand Awareness,Students,Australia,29742,16451,1081,1689,300,736,91,473.4,4724.12,3.63%,9.16%,897.91%
23-01-2021,Facebook,Brand Awareness,Youth,USA,44158,1689,4724,599,46,80,50,579.36,3301.62,10.70%,1.64%,469.87%
24-01-2021,Instagram,Lead Generation,Adults,Australia,40867,31261,1989,2948,111,707,273,838.11,1542.05,4.87%,9.22%,83.99%
24-01-2021,Instagram,Product Launch,Youth,UK,35565,27193,2782,2756,474,124,174,342.12,4952.81,7.82%,9.43%,1347.68%
25-01-2021,Instagram,Festive Sale,Adults,Canada,8788,39865,4255,2647,167,583,127,834.43,2167.08,48.42%,38.65%,159.71%
25-01-2021,Instagram,Brand Awareness,Professionals,Canada,2605,27508,1179,458,86,200,244,786.6,3490.09,45.26%,28.56%,343.69%
25-01-2021,Facebook,Lead Generation,Youth,UK,34132,38175,379,469,105,605,320,992.01,2372.76,1.11%,3.45%,139.19%
29-01-2021,Facebook,Product Launch,Adults,Canada,31077,15235,501,2766,137,266,326,347.79,1431.35,1.61%,10.20%,311.56%
30-01-2021,Instagram,Product Launch,Professionals,UK,12267,34514,587,1973,430,774,413,600.27,193.74,4.79%,25.90%,-67.72%
01-02-2021,Instagram,Lead Generation,Students,UK,46421,24874,4940,847,371,693,263,132.64,499.95,10.64%,4.12%,276.92%
01-02-2021,Instagram,Product Launch,Youth,Canada,14382,4091,1145,2327,59,235,317,837.59,3833.78,7.96%,18.22%,357.72%
02-02-2021,Instagram,Brand Awareness,Students,India,10465,33112,4978,396,12,669,487,471.31,758.83,47.57%,10.29%,61.00%
04-02-2021,Instagram,Brand Awareness,Professionals,UK,33966,37729,3441,2086,214,49,165,871.07,1011.92,10.13%,6.92%,16.17%
04-02-2021,Facebook,Product Launch,Youth,USA,7221,11550,2074,1128,167,31,409,584.61,273.89,28.72%,18.36%,-53.15%
05-02-2021,Facebook,Festive Sale,Students,Australia,2577,30485,2120,1835,273,115,204,424.19,1052.27,82.27%,86.26%,148.07%
05-02-2021,Instagram,Festive Sale,Adults,Australia,35758,21586,1380,1220,297,306,498,251.62,2924.77,3.86%,5.10%,1062.38%
06-02-2021,Facebook,Product Launch,Youth,Australia,35085,5223,1476,2456,360,82,236,758.77,1757.13,4.21%,8.26%,131.58%
06-02-2021,Facebook,Lead Generation,Adults,UK,22271,23172,2869,2072,303,660,298,971.36,4287.84,12.88%,13.63%,341.43%
07-02-2021,Instagram,Lead Generation,Adults,USA,30062,2009,823,2737,338,632,348,626.37,1702.52,2.74%,12.33%,171.81%
08-02-2021,Instagram,Lead Generation,Students,India,28464,10779,882,570,220,254,257,763.5,2347.47,3.10%,3.67%,207.46%
08-02-2021,Facebook,Lead Generation,Students,Australia,28765,7661,877,1193,26,371,193,145.7,4285.36,3.05%,5.53%,2841.22%
08-02-2021,Facebook,Product Launch,Adults,UK,34085,21169,2497,2730,129,767,24,377.46,3814.48,7.33%,10.64%,910.57%
01-01-2022,Instagram,Festive Sale,Professionals,UK,41115,3323,3623,372,309,219,172,219.46,4353.82,8.81%,2.19%,1883.88%
02-01-2022,Facebook,Brand Awareness,Professionals,Canada,13982,11776,2983,175,71,276,10,766.58,3377.14,21.33%,3.73%,340.55%
03-01-2022,Instagram,Brand Awareness,Students,India,4114,828,2396,1520,150,502,288,533.4,649.03,58.24%,52.80%,21.68%
04-01-2022,Instagram,Lead Generation,Professionals,India,48028,39306,154,661,125,647,97,246.33,1676.53,0.32%,2.98%,580.60%
06-01-2022,Facebook,Festive Sale,Students,Australia,21901,4235,1243,1311,328,724,253,42.84,4964.43,5.68%,10.79%,11488.31%
06-01-2022,Instagram,Brand Awareness,Youth,Canada,18400,32733,3182,2038,344,27,105,541.75,1464.37,17.29%,13.09%,170.30%
06-01-2022,Facebook,Brand Awareness,Youth,Canada,40335,33494,3546,2389,386,78,82,186.75,900.58,8.79%,7.07%,382.24%
09-01-2022,Instagram,Lead Generation,Adults,Australia,7297,15316,3591,2269,372,8,82,78.79,3393.01,49.21%,36.30%,4206.40%
09-01-2022,Facebook,Brand Awareness,Professionals,Australia,43771,13763,4541,2388,45,315,157,998.63,2985.87,10.37%,6.28%,199.00%
09-01-2022,Facebook,Brand Awareness,Adults,Australia,13467,24803,1513,1212,400,774,89,28.17,770.56,11.23%,17.72%,2635.39%
12-01-2022,Facebook,Lead Generation,Adults,UK,5175,38258,1129,61,277,27,233,266.3,4447.21,21.82%,7.05%,1570.00%
13-01-2022,Instagram,Brand Awareness,Professionals,USA,28914,20874,2735,739,441,179,204,122.29,1628.32,9.46%,4.70%,1231.52%
13-01-2022,Instagram,Brand Awareness,Students,UK,22120,1397,3689,1929,65,731,136,365.64,1263.89,16.68%,12.32%,245.67%
14-01-2022,Facebook,Lead Generation,Students,Canada,27928,29277,2606,2573,80,578,326,918.62,4796.06,9.33%,11.57%,422.09%
14-01-2022,Instagram,Lead Generation,Students,India,1060,10769,1231,220,139,327,100,171,2627.08,116.13%,64.72%,1436.30%
16-01-2022,Instagram,Festive Sale,Students,UK,25099,1465,4144,2953,484,702,234,615.19,2140.64,16.51%,16.49%,247.96%
17-01-2022,Instagram,Festive Sale,Professionals,India,3581,20422,1843,1002,177,453,285,885.63,2744.06,51.47%,45.57%,209.84%
20-01-2022,Facebook,Lead Generation,Youth,India,29464,31137,4982,760,304,616,493,794.29,4369.55,16.91%,5.70%,450.12%
23-01-2022,Instagram,Brand Awareness,Adults,Australia,43025,21519,506,262,355,760,285,989.67,4563.1,1.18%,3.20%,361.07%
24-01-2022,Facebook,Lead Generation,Adults,Canada,25466,13316,1839,2947,12,301,2,989.29,2324.22,7.22%,12.80%,134.94%
25-01-2022,Facebook,Product Launch,Adults,Australia,6565,26949,1048,1365,447,422,8,598.53,773.15,15.96%,34.03%,29.17%
27-01-2022,Instagram,Product Launch,Students,Canada,10916,23198,2249,1444,468,410,358,216.75,2190.12,20.60%,21.27%,910.44%
27-01-2022,Instagram,Product Launch,Professionals,India,24834,37584,3653,2067,411,589,499,941.45,2324.96,14.71%,12.35%,146.96%
27-01-2022,Instagram,Festive Sale,Adults,Australia,24760,16463,1653,1392,235,262,472,182.8,1323.84,6.68%,7.63%,624.20%
27-01-2022,Instagram,Lead Generation,Students,UK,21906,37245,3593,830,82,97,265,759.42,1121.39,16.40%,4.61%,47.66%
27-01-2022,Instagram,Lead Generation,Youth,UK,24706,21599,2472,1511,479,160,265,554.79,981.51,10.01%,8.70%,76.92%
28-01-2022,Facebook,Product Launch,Adults,India,6622,37922,430,2768,251,708,362,142.07,2159.2,6.49%,56.28%,1419.81%
28-01-2022,Instagram,Festive Sale,Adults,UK,42993,21190,888,1298,226,188,366,681.68,145.2,2.07%,3.98%,-78.70%
31-01-2022,Instagram,Product Launch,Professionals,India,31232,29913,4783,376,279,306,241,34.72,3098.43,15.31%,3.08%,8824.05%
31-01-2022,Facebook,Brand Awareness,Students,USA,33574,7641,546,592,493,120,260,10.16,2185.26,1.63%,3.59%,21408.46%
01-02-2022,Facebook,Product Launch,Youth,India,38052,16533,3761,750,360,201,132,592.8,4289.05,9.88%,3.45%,623.52%
03-02-2022,Instagram,Product Launch,Students,Australia,31966,4185,4995,282,63,118,276,693.07,1311.06,15.63%,1.45%,89.17%
03-02-2022,Instagram,Festive Sale,Students,India,20041,22104,1745,2650,135,13,142,694.9,276.97,8.71%,13.96%,-60.14%
03-02-2022,Instagram,Festive Sale,Adults,Canada,24508,19453,3188,470,499,702,204,911.31,4001.01,13.01%,6.82%,339.04%
03-02-2022,Instagram,Brand Awareness,Professionals,India,9605,12058,899,997,65,146,66,724.69,1610.64,9.36%,12.58%,122.25%
04-02-2022,Facebook,Lead Generation,Professionals,Australia,45362,34604,420,264,292,792,98,429.46,4867.64,0.93%,2.97%,1033.43%
06-02-2022,Instagram,Festive Sale,Youth,USA,43133,21189,2942,2664,321,36,410,575.92,955.29,6.82%,7.00%,65.87%
09-02-2022,Instagram,Product Launch,Adults,Canada,43065,3442,1007,1924,98,174,293,15.54,1713.59,2.34%,5.10%,10926.96%
10-02-2022,Facebook,Festive Sale,Youth,India,41537,27372,2536,1369,142,50,298,183.25,1785.71,6.11%,3.76%,874.47%
10-02-2022,Facebook,Product Launch,Professionals,USA,47407,26620,2367,1295,406,574,458,305.82,744.32,4.99%,4.80%,143.38%
10-02-2022,Facebook,Lead Generation,Professionals,Australia,25502,37345,882,1023,334,495,16,240.72,4698.45,3.46%,7.26%,1851.83%
10-02-2022,Instagram,Product Launch,Professionals,Canada,45814,5366,382,1007,12,42,335,954.12,1861.78,0.83%,2.32%,95.13%
